order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,Order text
1,259,4,01-01-2016,03-01-2016,03-01-2016,1,2,deliverd
2,1212,4,01-01-2016,04-01-2016,03-01-2016,2,6,deliverd
3,523,4,02-01-2016,05-01-2016,03-01-2016,2,7,deliverd
4,175,4,03-01-2016,04-01-2016,05-01-2016,1,3,deliverd
5,1324,4,03-01-2016,06-01-2016,06-01-2016,2,6,deliverd
6,94,4,04-01-2016,07-01-2016,05-01-2016,2,6,deliverd
7,324,4,04-01-2016,07-01-2016,05-01-2016,2,6,deliverd
8,1204,4,04-01-2016,05-01-2016,05-01-2016,2,7,deliverd
9,60,4,05-01-2016,08-01-2016,08-01-2016,1,2,deliverd
10,442,4,05-01-2016,06-01-2016,06-01-2016,2,6,deliverd
11,1326,4,05-01-2016,08-01-2016,07-01-2016,2,7,deliverd
12,91,4,06-01-2016,08-01-2016,09-01-2016,1,2,deliverd
13,873,4,08-01-2016,11-01-2016,11-01-2016,2,6,deliverd
14,258,4,09-01-2016,11-01-2016,12-01-2016,1,3,deliverd
15,450,4,09-01-2016,10-01-2016,12-01-2016,2,7,deliverd
16,552,4,12-01-2016,15-01-2016,15-01-2016,1,3,deliverd
17,1175,4,12-01-2016,14-01-2016,14-01-2016,1,3,deliverd
18,541,4,14-01-2016,17-01-2016,15-01-2016,1,3,deliverd
19,696,4,14-01-2016,17-01-2016,16-01-2016,1,2,deliverd
20,923,4,14-01-2016,16-01-2016,17-01-2016,1,2,deliverd
21,1250,4,15-01-2016,16-01-2016,18-01-2016,2,6,deliverd
22,1035,4,16-01-2016,18-01-2016,17-01-2016,1,2,deliverd
23,1149,4,16-01-2016,19-01-2016,19-01-2016,1,2,deliverd
24,636,4,18-01-2016,20-01-2016,19-01-2016,2,7,deliverd
25,657,4,18-01-2016,21-01-2016,21-01-2016,2,6,deliverd
26,1280,4,18-01-2016,21-01-2016,19-01-2016,2,7,deliverd
27,57,4,19-01-2016,21-01-2016,20-01-2016,2,7,deliverd
28,252,4,19-01-2016,20-01-2016,21-01-2016,2,6,deliverd
29,437,4,20-01-2016,22-01-2016,21-01-2016,2,6,deliverd
30,1348,4,20-01-2016,21-01-2016,21-01-2016,2,6,deliverd
31,1238,4,20-01-2016,22-01-2016,22-01-2016,3,8,deliverd
32,1259,4,21-01-2016,24-01-2016,22-01-2016,1,3,deliverd
33,236,4,21-01-2016,22-01-2016,22-01-2016,2,6,deliverd
34,80,4,22-01-2016,25-01-2016,23-01-2016,2,6,deliverd
35,813,4,22-01-2016,25-01-2016,24-01-2016,2,7,deliverd
36,1321,4,23-01-2016,24-01-2016,24-01-2016,2,6,deliverd
37,164,4,25-01-2016,28-01-2016,26-01-2016,2,6,deliverd
38,583,4,25-01-2016,27-01-2016,26-01-2016,2,7,deliverd
39,1296,4,25-01-2016,26-01-2016,26-01-2016,2,7,deliverd
40,348,4,27-01-2016,28-01-2016,29-01-2016,1,3,deliverd
41,979,4,27-01-2016,30-01-2016,29-01-2016,2,6,deliverd
42,1095,4,27-01-2016,28-01-2016,30-01-2016,2,7,deliverd
43,1434,4,27-01-2016,28-01-2016,30-01-2016,2,7,deliverd
44,861,4,28-01-2016,31-01-2016,30-01-2016,2,7,deliverd
45,1220,4,28-01-2016,31-01-2016,31-01-2016,2,7,deliverd
46,746,4,29-01-2016,31-01-2016,31-01-2016,2,7,deliverd
47,1234,4,29-01-2016,30-01-2016,31-01-2016,2,7,deliverd
48,1012,4,30-01-2016,01-02-2016,02-02-2016,2,7,deliverd
49,608,4,31-01-2016,01-02-2016,02-02-2016,2,6,deliverd
50,872,4,31-01-2016,03-02-2016,02-02-2016,3,8,deliverd
51,1047,4,01-02-2016,02-02-2016,03-02-2016,2,7,deliverd
52,767,4,03-02-2016,04-02-2016,05-02-2016,1,2,deliverd
53,965,4,03-02-2016,04-02-2016,05-02-2016,2,6,deliverd
54,535,4,04-02-2016,07-02-2016,07-02-2016,2,7,deliverd
55,1173,4,04-02-2016,07-02-2016,06-02-2016,2,6,deliverd
56,1241,4,04-02-2016,06-02-2016,07-02-2016,2,6,deliverd
57,1305,4,04-02-2016,06-02-2016,06-02-2016,2,7,deliverd
58,504,4,05-02-2016,07-02-2016,07-02-2016,2,6,deliverd
59,563,4,05-02-2016,07-02-2016,06-02-2016,2,7,deliverd
60,151,4,06-02-2016,08-02-2016,07-02-2016,1,3,deliverd
61,277,4,06-02-2016,09-02-2016,09-02-2016,2,7,deliverd
62,208,4,07-02-2016,10-02-2016,10-02-2016,1,2,deliverd
63,1075,4,07-02-2016,09-02-2016,09-02-2016,2,7,deliverd
64,1185,4,07-02-2016,08-02-2016,09-02-2016,2,6,deliverd
65,996,4,08-02-2016,09-02-2016,11-02-2016,2,6,deliverd
66,1253,4,09-02-2016,12-02-2016,12-02-2016,2,7,deliverd
67,526,4,09-02-2016,11-02-2016,10-02-2016,3,8,deliverd
68,381,4,10-02-2016,11-02-2016,13-02-2016,2,6,deliverd
69,1413,4,10-02-2016,12-02-2016,11-02-2016,2,7,deliverd
70,50,3,11-02-2016,11-02-2016,NULL,3,9,shipped
71,797,4,11-02-2016,14-02-2016,12-02-2016,2,7,deliverd
72,1386,4,12-02-2016,15-02-2016,13-02-2016,1,2,deliverd
73,612,4,12-02-2016,15-02-2016,14-02-2016,2,7,deliverd
74,264,4,13-02-2016,15-02-2016,15-02-2016,2,7,deliverd
75,587,4,14-02-2016,15-02-2016,17-02-2016,2,6,deliverd
76,9,3,16-02-2016,16-02-2016,NULL,2,6,shipped
77,385,4,16-02-2016,19-02-2016,19-02-2016,1,2,deliverd
78,1182,4,16-02-2016,18-02-2016,19-02-2016,2,7,deliverd
79,529,4,17-02-2016,20-02-2016,20-02-2016,1,3,deliverd
80,397,4,17-02-2016,20-02-2016,19-02-2016,2,6,deliverd
81,521,4,17-02-2016,19-02-2016,18-02-2016,2,6,deliverd
82,1223,4,18-02-2016,21-02-2016,20-02-2016,2,6,deliverd
83,393,4,19-02-2016,20-02-2016,20-02-2016,1,3,deliverd
84,317,4,20-02-2016,22-02-2016,21-02-2016,2,7,deliverd
85,1174,4,20-02-2016,23-02-2016,21-02-2016,2,7,deliverd
86,276,4,21-02-2016,22-02-2016,23-02-2016,2,7,deliverd
87,516,4,21-02-2016,22-02-2016,23-02-2016,2,6,deliverd
88,1069,4,21-02-2016,22-02-2016,23-02-2016,2,6,deliverd
89,668,4,21-02-2016,24-02-2016,24-02-2016,3,8,deliverd
90,414,4,23-02-2016,25-02-2016,24-02-2016,2,7,deliverd
91,648,4,25-02-2016,27-02-2016,28-02-2016,1,2,deliverd
92,1309,4,25-02-2016,28-02-2016,28-02-2016,2,7,deliverd
93,1328,4,26-02-2016,28-02-2016,27-02-2016,1,3,deliverd
94,929,4,27-02-2016,28-02-2016,29-02-2016,1,2,deliverd
95,218,4,27-02-2016,29-02-2016,28-02-2016,2,7,deliverd
96,1094,4,27-02-2016,29-02-2016,28-02-2016,2,7,deliverd
97,204,4,28-02-2016,29-02-2016,01-03-2016,2,7,deliverd
98,1194,4,28-02-2016,29-02-2016,29-02-2016,2,6,deliverd
99,1165,4,29-02-2016,01-03-2016,03-03-2016,3,9,deliverd
100,1237,4,01-03-2016,04-03-2016,03-03-2016,2,7,deliverd
101,271,4,01-03-2016,04-03-2016,04-03-2016,3,8,deliverd
102,336,4,02-03-2016,05-03-2016,03-03-2016,2,7,deliverd
103,991,4,03-03-2016,06-03-2016,05-03-2016,1,2,deliverd
104,7,4,03-03-2016,05-03-2016,05-03-2016,2,7,deliverd
105,306,4,03-03-2016,05-03-2016,04-03-2016,2,7,deliverd
106,422,4,04-03-2016,05-03-2016,05-03-2016,3,9,deliverd
107,633,4,06-03-2016,09-03-2016,09-03-2016,1,2,deliverd
108,12,4,06-03-2016,09-03-2016,07-03-2016,2,6,deliverd
109,1255,4,06-03-2016,09-03-2016,09-03-2016,2,6,deliverd
110,677,4,06-03-2016,08-03-2016,09-03-2016,3,9,deliverd
111,630,4,07-03-2016,10-03-2016,10-03-2016,2,6,deliverd
112,469,4,08-03-2016,11-03-2016,10-03-2016,2,6,deliverd
113,1078,4,08-03-2016,11-03-2016,11-03-2016,2,6,deliverd
114,1431,4,08-03-2016,10-03-2016,11-03-2016,2,7,deliverd
115,1369,4,09-03-2016,11-03-2016,11-03-2016,2,7,deliverd
116,471,4,10-03-2016,11-03-2016,11-03-2016,2,7,deliverd
117,740,4,10-03-2016,13-03-2016,11-03-2016,2,6,deliverd
118,577,4,12-03-2016,14-03-2016,13-03-2016,1,2,deliverd
119,925,4,12-03-2016,14-03-2016,14-03-2016,2,7,deliverd
120,327,4,14-03-2016,15-03-2016,17-03-2016,2,7,deliverd
121,755,4,14-03-2016,15-03-2016,16-03-2016,2,6,deliverd
122,786,4,14-03-2016,16-03-2016,15-03-2016,2,6,deliverd
123,766,4,15-03-2016,18-03-2016,17-03-2016,2,6,deliverd
124,403,4,16-03-2016,18-03-2016,17-03-2016,1,3,deliverd
125,685,4,16-03-2016,19-03-2016,17-03-2016,2,6,deliverd
126,1365,4,16-03-2016,18-03-2016,18-03-2016,2,7,deliverd
127,484,4,17-03-2016,18-03-2016,19-03-2016,3,8,deliverd
128,86,4,18-03-2016,20-03-2016,21-03-2016,2,6,deliverd
129,84,4,19-03-2016,21-03-2016,21-03-2016,2,7,deliverd
130,1049,4,19-03-2016,22-03-2016,20-03-2016,2,6,deliverd
131,316,4,19-03-2016,22-03-2016,20-03-2016,3,8,deliverd
132,46,4,20-03-2016,22-03-2016,23-03-2016,1,3,deliverd
133,409,4,20-03-2016,22-03-2016,21-03-2016,2,7,deliverd
134,679,4,20-03-2016,21-03-2016,21-03-2016,2,7,deliverd
135,1354,4,21-03-2016,23-03-2016,23-03-2016,2,7,deliverd
136,1192,4,21-03-2016,24-03-2016,23-03-2016,3,8,deliverd
137,370,4,23-03-2016,26-03-2016,25-03-2016,2,7,deliverd
138,438,4,23-03-2016,24-03-2016,25-03-2016,2,7,deliverd
139,710,4,23-03-2016,24-03-2016,26-03-2016,2,7,deliverd
140,1264,4,23-03-2016,26-03-2016,26-03-2016,2,7,deliverd
141,557,4,25-03-2016,27-03-2016,26-03-2016,2,7,deliverd
142,170,4,26-03-2016,27-03-2016,27-03-2016,1,3,deliverd
143,693,4,26-03-2016,28-03-2016,28-03-2016,2,7,deliverd
144,1124,4,26-03-2016,29-03-2016,29-03-2016,2,7,deliverd
145,366,4,27-03-2016,29-03-2016,30-03-2016,2,6,deliverd
146,288,4,28-03-2016,30-03-2016,30-03-2016,1,3,deliverd
147,55,4,28-03-2016,31-03-2016,31-03-2016,2,7,deliverd
148,714,4,28-03-2016,30-03-2016,30-03-2016,2,6,deliverd
149,763,4,28-03-2016,30-03-2016,29-03-2016,2,6,deliverd
150,332,4,29-03-2016,31-03-2016,01-04-2016,1,2,deliverd
151,926,4,29-03-2016,01-04-2016,31-03-2016,1,2,deliverd
152,76,4,29-03-2016,30-03-2016,30-03-2016,2,6,deliverd
153,498,4,30-03-2016,02-04-2016,01-04-2016,2,6,deliverd
154,1286,4,31-03-2016,01-04-2016,01-04-2016,1,2,deliverd
155,371,4,02-04-2016,03-04-2016,04-04-2016,2,6,deliverd
156,357,4,03-04-2016,06-04-2016,05-04-2016,1,3,deliverd
157,43,4,03-04-2016,06-04-2016,06-04-2016,3,8,deliverd
158,117,3,04-04-2016,04-04-2016,NULL,3,9,shipped
159,32,4,04-04-2016,06-04-2016,06-04-2016,1,2,deliverd
160,205,4,04-04-2016,06-04-2016,06-04-2016,2,7,deliverd
161,251,4,04-04-2016,07-04-2016,05-04-2016,2,7,deliverd
162,31,4,06-04-2016,08-04-2016,07-04-2016,1,3,deliverd
163,1325,4,06-04-2016,07-04-2016,07-04-2016,2,7,deliverd
164,610,4,07-04-2016,08-04-2016,09-04-2016,2,7,deliverd
165,574,4,08-04-2016,10-04-2016,10-04-2016,1,3,deliverd
166,338,4,08-04-2016,11-04-2016,11-04-2016,2,6,deliverd
167,1034,4,08-04-2016,09-04-2016,11-04-2016,2,7,deliverd
168,1147,4,09-04-2016,12-04-2016,11-04-2016,1,3,deliverd
169,99,4,10-04-2016,11-04-2016,11-04-2016,2,7,deliverd
170,1200,4,10-04-2016,11-04-2016,13-04-2016,2,7,deliverd
171,237,4,11-04-2016,14-04-2016,14-04-2016,1,3,deliverd
172,1079,4,11-04-2016,12-04-2016,14-04-2016,2,7,deliverd
173,117,4,11-04-2016,14-04-2016,13-04-2016,3,8,deliverd
174,1361,4,12-04-2016,13-04-2016,15-04-2016,2,7,deliverd
175,951,4,13-04-2016,14-04-2016,14-04-2016,2,6,deliverd
176,643,4,15-04-2016,16-04-2016,17-04-2016,2,7,deliverd
177,121,4,16-04-2016,19-04-2016,19-04-2016,1,2,deliverd
178,756,4,16-04-2016,17-04-2016,18-04-2016,2,6,deliverd
179,616,4,17-04-2016,19-04-2016,19-04-2016,2,6,deliverd
180,918,4,17-04-2016,20-04-2016,19-04-2016,2,7,deliverd
181,459,4,18-04-2016,20-04-2016,20-04-2016,1,3,deliverd
182,854,4,18-04-2016,19-04-2016,20-04-2016,2,6,deliverd
183,22,4,19-04-2016,20-04-2016,20-04-2016,2,7,deliverd
184,134,4,19-04-2016,21-04-2016,22-04-2016,2,7,deliverd
185,24,3,20-04-2016,20-04-2016,NULL,1,2,shipped
186,1127,4,21-04-2016,22-04-2016,24-04-2016,2,6,deliverd
187,183,4,22-04-2016,23-04-2016,24-04-2016,2,6,deliverd
188,390,4,22-04-2016,23-04-2016,25-04-2016,2,6,deliverd
189,1288,4,23-04-2016,24-04-2016,26-04-2016,1,2,deliverd
190,98,4,23-04-2016,25-04-2016,25-04-2016,2,6,deliverd
191,919,4,27-04-2016,28-04-2016,28-04-2016,1,2,deliverd
192,728,4,27-04-2016,28-04-2016,29-04-2016,2,7,deliverd
193,1366,4,28-04-2016,30-04-2016,30-04-2016,1,3,deliverd
194,558,4,28-04-2016,30-04-2016,01-05-2016,2,7,deliverd
195,727,4,28-04-2016,01-05-2016,01-05-2016,2,7,deliverd
196,1247,4,28-04-2016,30-04-2016,01-05-2016,2,6,deliverd
197,127,4,30-04-2016,03-05-2016,03-05-2016,2,7,deliverd
198,640,4,01-05-2016,04-05-2016,03-05-2016,2,6,deliverd
199,760,4,01-05-2016,04-05-2016,04-05-2016,2,7,deliverd
200,1074,4,01-05-2016,03-05-2016,03-05-2016,2,6,deliverd
201,280,4,01-05-2016,04-05-2016,02-05-2016,3,9,deliverd
202,600,4,03-05-2016,05-05-2016,04-05-2016,1,2,deliverd
203,1102,4,03-05-2016,05-05-2016,06-05-2016,3,9,deliverd
204,591,4,04-05-2016,07-05-2016,06-05-2016,2,7,deliverd
205,635,4,04-05-2016,05-05-2016,06-05-2016,2,6,deliverd
206,743,4,04-05-2016,06-05-2016,05-05-2016,3,9,deliverd
207,105,4,05-05-2016,07-05-2016,07-05-2016,2,7,deliverd
208,815,4,06-05-2016,07-05-2016,09-05-2016,2,7,deliverd
209,514,4,07-05-2016,08-05-2016,08-05-2016,2,6,deliverd
210,943,4,07-05-2016,08-05-2016,09-05-2016,2,6,deliverd
211,1140,4,07-05-2016,09-05-2016,08-05-2016,2,6,deliverd
212,1373,4,08-05-2016,09-05-2016,11-05-2016,2,6,deliverd
213,788,4,08-05-2016,09-05-2016,09-05-2016,3,8,deliverd
214,363,4,10-05-2016,12-05-2016,11-05-2016,2,6,deliverd
215,1420,4,10-05-2016,13-05-2016,12-05-2016,2,7,deliverd
216,267,4,11-05-2016,14-05-2016,13-05-2016,1,3,deliverd
217,716,4,11-05-2016,12-05-2016,14-05-2016,2,7,deliverd
218,1179,4,12-05-2016,14-05-2016,14-05-2016,2,7,deliverd
219,1338,4,12-05-2016,15-05-2016,15-05-2016,2,6,deliverd
220,1358,4,12-05-2016,14-05-2016,15-05-2016,2,6,deliverd
221,1218,4,13-05-2016,16-05-2016,14-05-2016,1,2,deliverd
222,51,4,13-05-2016,16-05-2016,14-05-2016,2,6,deliverd
223,1368,4,15-05-2016,16-05-2016,17-05-2016,2,7,deliverd
224,157,4,17-05-2016,18-05-2016,19-05-2016,1,3,deliverd
225,307,4,17-05-2016,20-05-2016,19-05-2016,1,3,deliverd
226,501,4,17-05-2016,19-05-2016,20-05-2016,1,2,deliverd
227,489,4,17-05-2016,18-05-2016,20-05-2016,2,7,deliverd
228,615,4,17-05-2016,20-05-2016,20-05-2016,2,7,deliverd
229,742,4,19-05-2016,21-05-2016,20-05-2016,2,6,deliverd
230,1167,4,19-05-2016,20-05-2016,21-05-2016,2,6,deliverd
231,1257,4,19-05-2016,22-05-2016,21-05-2016,2,6,deliverd
232,1360,4,20-05-2016,23-05-2016,23-05-2016,1,3,deliverd
233,737,4,21-05-2016,22-05-2016,24-05-2016,2,6,deliverd
234,1435,4,22-05-2016,24-05-2016,24-05-2016,2,6,deliverd
235,649,4,24-05-2016,25-05-2016,25-05-2016,2,6,deliverd
236,206,4,25-05-2016,27-05-2016,26-05-2016,2,6,deliverd
237,1351,4,25-05-2016,26-05-2016,27-05-2016,2,7,deliverd
238,1350,4,26-05-2016,29-05-2016,29-05-2016,2,6,deliverd
239,13,3,27-05-2016,27-05-2016,NULL,3,9,shipped
240,65,4,27-05-2016,29-05-2016,30-05-2016,2,6,deliverd
241,1082,4,27-05-2016,29-05-2016,29-05-2016,2,7,deliverd
242,1168,4,27-05-2016,30-05-2016,30-05-2016,2,7,deliverd
243,802,4,27-05-2016,30-05-2016,28-05-2016,3,8,deliverd
244,956,4,28-05-2016,29-05-2016,29-05-2016,2,6,deliverd
245,223,4,29-05-2016,31-05-2016,30-05-2016,2,7,deliverd
246,17,3,30-05-2016,30-05-2016,NULL,2,6,shipped
247,928,4,30-05-2016,01-06-2016,01-06-2016,1,3,deliverd
248,1376,4,30-05-2016,01-06-2016,31-05-2016,2,7,deliverd
249,145,4,01-06-2016,04-06-2016,04-06-2016,2,6,deliverd
250,150,4,01-06-2016,02-06-2016,04-06-2016,2,7,deliverd
251,851,4,01-06-2016,04-06-2016,04-06-2016,2,7,deliverd
252,66,4,01-06-2016,04-06-2016,02-06-2016,3,8,deliverd
253,1267,4,02-06-2016,05-06-2016,05-06-2016,2,6,deliverd
254,510,4,03-06-2016,06-06-2016,05-06-2016,2,7,deliverd
255,801,4,03-06-2016,06-06-2016,05-06-2016,2,7,deliverd
256,26,4,04-06-2016,05-06-2016,07-06-2016,2,7,deliverd
257,1314,4,05-06-2016,06-06-2016,08-06-2016,1,3,deliverd
258,107,4,06-06-2016,07-06-2016,07-06-2016,2,7,deliverd
259,413,4,06-06-2016,09-06-2016,09-06-2016,2,7,deliverd
260,632,4,06-06-2016,08-06-2016,08-06-2016,2,6,deliverd
261,1045,4,08-06-2016,10-06-2016,09-06-2016,1,2,deliverd
262,579,4,08-06-2016,11-06-2016,10-06-2016,3,9,deliverd
263,1322,4,09-06-2016,10-06-2016,12-06-2016,2,6,deliverd
264,5,3,10-06-2016,10-06-2016,NULL,1,3,shipped
265,682,4,10-06-2016,12-06-2016,11-06-2016,2,7,deliverd
266,933,4,10-06-2016,13-06-2016,13-06-2016,2,7,deliverd
267,282,4,11-06-2016,14-06-2016,14-06-2016,1,3,deliverd
268,540,4,11-06-2016,14-06-2016,12-06-2016,1,3,deliverd
269,764,4,12-06-2016,13-06-2016,15-06-2016,2,6,deliverd
270,879,4,12-06-2016,15-06-2016,13-06-2016,2,7,deliverd
271,350,4,13-06-2016,16-06-2016,14-06-2016,2,7,deliverd
272,497,4,15-06-2016,18-06-2016,16-06-2016,2,7,deliverd
273,1340,4,16-06-2016,19-06-2016,17-06-2016,2,7,deliverd
274,411,4,17-06-2016,20-06-2016,18-06-2016,2,7,deliverd
275,1341,4,17-06-2016,19-06-2016,18-06-2016,2,7,deliverd
276,1227,4,18-06-2016,19-06-2016,19-06-2016,2,6,deliverd
277,546,4,19-06-2016,20-06-2016,20-06-2016,2,7,deliverd
278,1301,4,20-06-2016,23-06-2016,21-06-2016,1,3,deliverd
279,378,4,21-06-2016,22-06-2016,22-06-2016,2,6,deliverd
280,638,4,21-06-2016,22-06-2016,23-06-2016,2,7,deliverd
281,800,4,21-06-2016,22-06-2016,23-06-2016,2,7,deliverd
282,159,4,22-06-2016,25-06-2016,25-06-2016,3,9,deliverd
283,181,4,23-06-2016,26-06-2016,26-06-2016,1,2,deliverd
284,1356,4,23-06-2016,25-06-2016,25-06-2016,2,7,deliverd
285,319,4,25-06-2016,26-06-2016,27-06-2016,1,2,deliverd
286,59,4,25-06-2016,26-06-2016,26-06-2016,2,6,deliverd
287,133,4,25-06-2016,26-06-2016,27-06-2016,2,6,deliverd
288,780,4,25-06-2016,28-06-2016,28-06-2016,2,6,deliverd
289,849,4,27-06-2016,28-06-2016,30-06-2016,2,6,deliverd
290,202,4,28-06-2016,29-06-2016,30-06-2016,2,6,deliverd
291,158,4,29-06-2016,30-06-2016,01-07-2016,2,6,deliverd
292,360,4,29-06-2016,30-06-2016,02-07-2016,3,9,deliverd
293,573,4,30-06-2016,03-07-2016,02-07-2016,2,7,deliverd
294,732,4,01-07-2016,02-07-2016,02-07-2016,2,7,deliverd
295,1130,4,01-07-2016,04-07-2016,04-07-2016,2,7,deliverd
296,1245,4,04-07-2016,07-07-2016,06-07-2016,2,6,deliverd
297,1425,4,04-07-2016,05-07-2016,06-07-2016,2,7,deliverd
298,885,4,04-07-2016,07-07-2016,07-07-2016,3,9,deliverd
299,281,4,05-07-2016,06-07-2016,07-07-2016,2,6,deliverd
300,1205,4,05-07-2016,08-07-2016,08-07-2016,2,6,deliverd
301,17,4,06-07-2016,09-07-2016,08-07-2016,2,6,deliverd
302,1375,4,06-07-2016,07-07-2016,09-07-2016,2,6,deliverd
303,36,4,07-07-2016,08-07-2016,09-07-2016,2,7,deliverd
304,230,4,07-07-2016,08-07-2016,08-07-2016,2,6,deliverd
305,705,4,07-07-2016,08-07-2016,08-07-2016,2,7,deliverd
306,424,4,09-07-2016,10-07-2016,12-07-2016,2,7,deliverd
307,695,4,09-07-2016,11-07-2016,11-07-2016,2,6,deliverd
308,156,4,11-07-2016,12-07-2016,14-07-2016,2,6,deliverd
309,211,4,11-07-2016,13-07-2016,13-07-2016,2,6,deliverd
310,627,4,12-07-2016,13-07-2016,13-07-2016,1,2,deliverd
311,1400,4,12-07-2016,14-07-2016,13-07-2016,2,6,deliverd
312,299,4,13-07-2016,15-07-2016,16-07-2016,2,6,deliverd
313,565,4,14-07-2016,15-07-2016,15-07-2016,3,9,deliverd
314,1019,4,15-07-2016,17-07-2016,17-07-2016,2,7,deliverd
315,1263,4,16-07-2016,19-07-2016,17-07-2016,2,6,deliverd
316,670,4,17-07-2016,20-07-2016,19-07-2016,2,7,deliverd
317,795,4,17-07-2016,20-07-2016,19-07-2016,2,7,deliverd
318,1141,4,17-07-2016,19-07-2016,20-07-2016,2,7,deliverd
319,941,4,18-07-2016,21-07-2016,21-07-2016,2,6,deliverd
320,1428,4,19-07-2016,20-07-2016,21-07-2016,1,2,deliverd
321,568,4,19-07-2016,22-07-2016,21-07-2016,2,6,deliverd
